test_id,interval_start_utc,interval_end_utc,p_sched_kw,p_actual_mean_kw,p_actual_median_kw,tracking_error_kw,steady_tracking_error_kw,abs_tracking_error_kw,steady_abs_tracking_error_kw,relative_tracking_error,sign_aware_actual_kw,shortfall_kw,steady_shortfall_kw,shortfall_kwh,steady_shortfall_kwh,requested_kwh_abs,delivered_ratio,direction,actual_sample_count,steady_sample_count,interval_usable
1,2022-10-06 20:15:00+00:00,2022-10-06 20:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 20:30:00+00:00,2022-10-06 20:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 20:45:00+00:00,2022-10-06 21:00:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-06 21:00:00+00:00,2022-10-06 21:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 21:15:00+00:00,2022-10-06 21:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 21:30:00+00:00,2022-10-06 21:45:00+00:00,-1110.755607320859,,,,,,,,,,,,,277.6889018302148,,charge,0,0,False
1,2022-10-06 21:45:00+00:00,2022-10-06 22:00:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-06 22:00:00+00:00,2022-10-06 22:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 22:15:00+00:00,2022-10-06 22:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 22:30:00+00:00,2022-10-06 22:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 22:45:00+00:00,2022-10-06 23:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 23:00:00+00:00,2022-10-06 23:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 23:15:00+00:00,2022-10-06 23:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 23:30:00+00:00,2022-10-06 23:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 23:45:00+00:00,2022-10-07 00:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 00:00:00+00:00,2022-10-07 00:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 00:15:00+00:00,2022-10-07 00:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 00:30:00+00:00,2022-10-07 00:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 00:45:00+00:00,2022-10-07 01:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 01:00:00+00:00,2022-10-07 01:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 01:15:00+00:00,2022-10-07 01:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 01:30:00+00:00,2022-10-07 01:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 01:45:00+00:00,2022-10-07 02:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-07 02:00:00+00:00,2022-10-07 02:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
